company,job_title,date_of_applied,date_of_rejection,status
Sanofi,Data Scientist,2026-04-01,,application_confirmation
Sanofi,Senior Scientist - Agentic AI Systems - Vaccines,2026-04-01,,application_confirmation
PointClickCare,Senior Applied Researcher AI/ML ( CAD),2026-04-01,,application_confirmation
Vanguard,Senior AI/ML Scientist,2026-04-02,,application_confirmation
Vanguard,AI/ML Engineer,2026-04-02,2026-05-04,rejection
Caylent,Machine Learning Architect,2026-04-02,2026-04-28,rejection
AstraZeneca,Fundamental AI Research Scientist,2026-04-02,,application_confirmation
AstraZeneca,"R-239748 Fundamental AI Research Scientist - Toronto, Ontario",2026-04-02,2026-04-30,rejection
RBC,Senior Data Scientist,2026-04-02,,application_confirmation
Valsoft Corporation,Forward Deployed Engineer (AI),2026-04-02,,application_confirmation
,Data Scientist,2026-04-02,,application_confirmation
Ample Insight Inc.,Data Scientist,2026-04-02,,application_confirmation
Tucows Inc.,,2026-04-06,,application_confirmation
Cresta,Machine Learning Engineer (AI Agents),2026-04-06,,application_confirmation
Xanadu Quantum Technologies,AI Specialist - Agentic Research,2026-04-06,,application_confirmation
AutoScout24,Senior GenAI Data Scientist (m/f/d),2026-04-06,2026-04-10,rejection
"Huawei Technologies Canada Co., Ltd.",Researcher - AI,2026-04-06,,application_confirmation
Microsoft,Applied Scientist - Core AI Speech,2026-04-07,2026-04-08,rejection
Sprout Social,Applied AI/ML Scientist,2026-04-07,2026-04-10,rejection
Kindsight,Data Scientist/Senior Data Scientist,2026-04-07,2026-04-24,rejection
"I Machines, Inc.",AI/ML Model Compression & Quantization Engineer,2026-04-07,,application_confirmation
Sophos,Senior Data Scientist - Canada Remote,2026-04-07,2026-04-27,rejection
Valsoft Corporation,AI-ML Engineer - Hotel Revenue Optimization,2026-04-07,,application_confirmation
TD,Machine Learning Engineer II,2026-04-07,,application_confirmation
TELUS,L4 Senior Data Scientist,2026-04-07,,application_confirmation
Andiamo,Data Scientist,2026-04-07,,application_confirmation
