app_key,confirmation_date,company,job_title,job_id,rejection_date
"Waabi | Research Engineer, Sensor Signal Processing | None",2026-05-07T19:34:02+00:00,Waabi,"Research Engineer, Sensor Signal Processing",None,
Xanadu Quantum Technologies | AI Specialist - AI For Research | None,2026-05-07T17:11:55Z,Xanadu Quantum Technologies,AI Specialist - AI For Research,None,
RBC | Staff Data/AI Engineer | R-0000169632,2026-05-07T16:23:49+00:00,RBC,Staff Data/AI Engineer,R-0000169632,
None | Machine Learning Bioinformatics Engineer | None,2026-05-04T14:50:05Z,None,Machine Learning Bioinformatics Engineer,None,
Electronic Arts | Data Scientist - Mobile Growth | 211632,2026-05-04T13:46:11Z,Electronic Arts,Data Scientist - Mobile Growth,211632,
"RBC | Senior Data Scientist, Fraud Applied AI and Innovation | R-0000170372",2026-05-04T13:34:44+00:00,RBC,"Senior Data Scientist, Fraud Applied AI and Innovation",R-0000170372,
CIBC | Senior AI Scientist | 2609152,2026-05-04T01:27:57-07:00,CIBC,Senior AI Scientist,2609152,
CIBC | Senior Machine Learning Engineer | 2528027,2026-05-02T04:30:08-07:00,CIBC,Senior Machine Learning Engineer,2528027,
Questrade Financial Group | Principal Data Scientist | None,2026-04-30T10:44:37-04:00,Questrade Financial Group,Principal Data Scientist,None,
"RBC | Lead Data Scientist, Next Best Action | R-0000165688",2026-04-30T14:32:25Z,RBC,"Lead Data Scientist, Next Best Action",R-0000165688,
McKesson | Senior Data Scientist | None,2026-04-30T13:40:33Z,McKesson,Senior Data Scientist,None,
"RBC | Lead Data Scientist, GFT | R-0000167655",2026-04-30T13:20:20Z,RBC,"Lead Data Scientist, GFT",R-0000167655,
RBC | Senior Data Scientist | R-0000157179,2026-04-30T13:13:22Z,RBC,Senior Data Scientist,R-0000157179,
"Huawei Technologies Canada Co., Ltd. | Senior Researcher - AI Agent | None",2026-04-30T02:00:44Z,"Huawei Technologies Canada Co., Ltd.",Senior Researcher - AI Agent,None,
"Huawei Technologies Canada Co., Ltd. | Intern Researcher – AI Foundation Model Training | None",2026-04-30T01:59:06+00:00,"Huawei Technologies Canada Co., Ltd.",Intern Researcher – AI Foundation Model Training,None,
"Huawei Technologies Canada Co., Ltd. | Intern Researcher - AI Agent | None",2026-04-30T01:57:39Z,"Huawei Technologies Canada Co., Ltd.",Intern Researcher - AI Agent,None,
"Huawei Technologies Canada Co., Ltd. | Intern Researcher - AI Agent Evaluation | None",2026-04-30T01:26:33Z,"Huawei Technologies Canada Co., Ltd.",Intern Researcher - AI Agent Evaluation,None,
"Huawei Technologies Canada Co., Ltd. | Researcher – AI/ML | None",2026-04-30T01:25:03Z,"Huawei Technologies Canada Co., Ltd.",Researcher – AI/ML,None,
"Huawei Technologies Canada Co., Ltd. | Intern Strategic Researcher - Efficient AI Computing | None",2026-04-30T01:23:53Z,"Huawei Technologies Canada Co., Ltd.",Intern Strategic Researcher - Efficient AI Computing,None,
"Huawei Technologies Canada Co., Ltd. | Intern Strategic Researcher - LLM | None",2026-04-30T01:23:20+00:00,"Huawei Technologies Canada Co., Ltd.",Intern Strategic Researcher - LLM,None,
"Huawei Technologies Canada Co., Ltd. | PhD Intern - AI Efficiency Researcher | None",2026-04-30T01:21:55Z,"Huawei Technologies Canada Co., Ltd.",PhD Intern - AI Efficiency Researcher,None,
TekRek | Senior Data Scientist | 4407029237,2026-04-29T19:09:23Z,TekRek,Senior Data Scientist,4407029237,
Teamworks | Data Scientist II (Basketball/Hockey) | None,2026-04-29T16:47:12Z,Teamworks,Data Scientist II (Basketball/Hockey),None,
Opendoor | None | None,2026-04-29T16:44:04Z,Opendoor,None,None,
Opendoor | Data Scientist | 4390625625,2026-04-29T16:43:06Z,Opendoor,Data Scientist,4390625625,
Index Exchange | Staff Data Scientist | None,2026-04-29T16:38:08Z,Index Exchange,Staff Data Scientist,None,
Clio | None | None,2026-04-29T15:23:59Z,Clio,None,None,
"RBC | Lead AI Engineer, GFT | R-0000150449",2026-04-29T15:12:59+00:00,RBC,"Lead AI Engineer, GFT",R-0000150449,
BMO | Data Scientist | R260012088,2026-04-29T08:01:49-07:00,BMO,Data Scientist,R260012088,
TD | Data Scientist III | R_1484786,2026-04-29T03:55:37+00:00,TD,Data Scientist III,R_1484786,
"TD | Senior Applied Machine Learning Scientist, Predictive AI | B3617",2026-04-28T21:40:23Z,TD,"Senior Applied Machine Learning Scientist, Predictive AI",B3617,
Kroll | Senior Data Scientist | 21014029,2026-04-28T20:45:35Z,Kroll,Senior Data Scientist,21014029,2026-05-06T09:20:15Z
Kroll | Senior Data Scientist | 21014029,2026-04-28T20:45:14Z,Kroll,Senior Data Scientist,21014029,2026-05-06T09:20:15Z
Alpaca Markets | Senior Data Scientist | None,2026-04-28T20:28:12Z,Alpaca Markets,Senior Data Scientist,None,
Clio | None | None,2026-04-28T18:39:30Z,Clio,None,None,
Clio | None | None,2026-04-28T18:36:39+00:00,Clio,None,None,
Clio | None | None,2026-04-28T18:33:56Z,Clio,None,None,
RBC | Senior Data Scientist - AI | R-0000137924,2026-04-28T17:45:19+00:00,RBC,Senior Data Scientist - AI,R-0000137924,
Relay | Senior Data Scientist | None,2026-04-28T17:39:55Z,Relay,Senior Data Scientist,None,2026-05-01T16:45:12+00:00
Warner Music Inc. | Data Scientist | None,2026-04-27T16:47:30+00:00,Warner Music Inc.,Data Scientist,None,
Microsoft | Senior Data Scientist | 200034120,2026-04-27T16:40:19Z,Microsoft,Senior Data Scientist,200034120,2026-04-29T13:04:08Z
Fullscript | Machine Learning Engineer | None,2026-04-27T16:16:24+00:00,Fullscript,Machine Learning Engineer,None,
Fullscript | Lead Data Scientist | None,2026-04-27T16:11:15+00:00,Fullscript,Lead Data Scientist,None,2026-05-06T13:25:25Z
"BMO | Senior Analyst, Data Sciences | R250024639",2026-04-27T08:18:35-07:00,BMO,"Senior Analyst, Data Sciences",R250024639,
"Desjardins | Data Scientist, Credit Application Fraud Detection | R2605450",2026-04-27T14:57:23Z,Desjardins,"Data Scientist, Credit Application Fraud Detection",R2605450,2026-04-30T04:01:45Z
M Science | Data Scientist | 4404231513,2026-04-27T14:51:45Z,M Science,Data Scientist,4404231513,
ServiceTitan | Senior Data Scientist | None,2026-04-27T14:48:28Z,ServiceTitan,Senior Data Scientist,None,
Electronic Arts | None | None,2026-04-24T22:41:51Z,Electronic Arts,None,None,
"Intuition Machines, Inc. | Senior/Lead ML Applied Scientist | 4074687",2026-04-24T19:02:28+00:00,"Intuition Machines, Inc.",Senior/Lead ML Applied Scientist,4074687,
Intuition Machines | Senior/Lead ML Applied Scientist | 4367470345,2026-04-24T19:01:33Z,Intuition Machines,Senior/Lead ML Applied Scientist,4367470345,
Affirm | Machine Learning Engineer II (Fraud) | None,2026-04-24T18:56:16Z,Affirm,Machine Learning Engineer II (Fraud),None,2026-04-28T15:44:14Z
Valsoft Corporation | AI Developer - Canada | None,2026-04-24T16:37:17Z,Valsoft Corporation,AI Developer - Canada,None,
Valsoft Corporation | AI Developer - Canada | 5507480,2026-04-24T16:31:26+00:00,Valsoft Corporation,AI Developer - Canada,5507480,
